,Tweet,Label,tokenization
4304,dan yg booster bisa jadi orang yg ga bodoh dan ekonominya ga pas pasan  jd ga ada masalah buat swab    jadinya ketahuan positif deh,Neutral,"['booster', 'orang', 'bodoh', 'ekonomi', 'pas', 'pas', 'swab', 'tahu', 'positif', 'deh']"
1657,semangat anggun aku jugaa setiap hari pulang jam   sore mana bimbel   kali seminggu,Joy,"['semangat', 'anggun', 'jugaa', 'pulang', 'jam', 'sore', 'bimbel', 'kali', 'minggu']"
4526,kirimlah bangsa    kg perbulan     perjenisnya  ,Neutral,"['kirim', 'bangsa', 'kg', 'bulan', 'jenis']"
1088,orang cuma bisa nya ngeliati hidup orang lain saja  tp mereka nggak pernah ngeliati hidup mereka sendiri aja belum bener ,Anger,"['orang', 'ngeliati', 'hidup', 'orang', 'tp', 'nggak', 'ngeliati', 'hidup', 'bener']"
3326,gak aneh kok  kenapa harus aneh  tapi gapapa kalau sesekali mau coba nderr  nebeng sama temen gitu kalau lagi pada mau nonton  kalau engga ya gapapa  chill  santai  ada wilayah yg ga ada bioskop dan isokay kincana kok,Neutral,"['aneh', 'aneh', 'gapapa', 'coba', 'nderr', 'nebeng', 'temen', 'gitu', 'nonton', 'engga', 'gapapa', 'chill', 'santai', 'wilayah', 'bioskop', 'isokay', 'kincana']"
5017,kalian bisa dengerin mitski tanpa ikut sedih padahal g bisa relate gitu ,Neutral,"['dengerin', 'mitski', 'sedih', 'g', 'relate', 'gitu']"
591,eh anjing emg baim mana baim tu rada tau ga lo  bangsat emg lu sibuk   gabut gak  menyebut oknum  untuk digibahin  iya yg di gibahin ga cuma    ya allah wkwkw mbabung lu frik,Anger,"['eh', 'anjing', 'emg', 'baim', 'baim', 'tu', 'rada', 'lo', 'bangsat', 'emg', 'sibuk', 'gabut', 'sebut', 'oknum', 'digibahin', 'iya', 'gibahin', 'allah', 'wkwkw', 'mbabung', 'frik']"
4951,kok sepi yakk tl gw,Neutral,"['sepi', 'yakk', 'tl', 'gw']"
5515, kukira kau rumah    judulnya aja sudah sedih banget woilaahh ,Sad,"['kira', 'kau', 'rumah', 'judul', 'sedih', 'banget', 'woilaahh']"
5808,kok gw sedih ya  gw nyesel  knp gw ngga kenal bw nya pas dulu  aja sih  pas pertama mereka buat series  yg katanya tuh masih adem ayem aja rasanya  knp gw harus ngrasain di moment sekarang sih  yg isinya tuh cuma war  terosssss  jujur aja gw emng masih awam banget kenal bw ,Sad,"['gw', 'sedih', 'gw', 'nyesel', 'knp', 'gw', 'ngga', 'kenal', 'bw', 'pas', 'pas', 'series', 'adem', 'ayem', 'knp', 'gw', 'ngrasain', 'moment', 'isi', 'war', 'terosssss', 'jujur', 'gw', 'emng', 'awam', 'banget', 'kenal', 'bw']"
6502,gua naik angkot isinya cowo semua anjirr  malu bet,Fear,"['gua', 'angkot', 'isi', 'cowo', 'anjirr', 'malu', 'bet']"
3184,oh kalo kfc iya masih ada rasanya  tapi kalo ayam biasa kan   beda gak sih,Neutral,"['oh', 'kfc', 'iya', 'ayam', 'beda']"
851,gak kaget kalo tau pendukung gubernur kafir,Anger,"['kaget', 'dukung', 'gubernur', 'kafir']"
2833,tapi dulu suka sama aoi pake banget seehhhh,Love,"['suka', 'aoi', 'pake', 'banget', 'seehhhh']"
5706,gua sedih bgt liat foto  cogan,Sad,"['gua', 'sedih', 'bgt', 'liat', 'foto', 'cogan']"
5061,arya saloka kepergok tahan tawa di adegan sedih hingga minta maaf  editor video lupa potong adegan via,Neutral,"['arya', 'saloka', 'pergok', 'tahan', 'tawa', 'adegan', 'sedih', 'maaf', 'editor', 'video', 'lupa', 'potong', 'adegan', 'via']"
1974,cerah oy ,Joy,"['cerah', 'oy']"
3789,itu normal attack set is for hima  maksudnya dia bisa make arte yg bonusnya na buat dps kayaknya  macam   gladi   hod gt,Neutral,"['normal', 'attack', 'set', 'is', 'for', 'hima', 'maksud', 'make', 'arte', 'bonus', 'na', 'dps', 'kayak', 'gladi', 'hod', 'gt']"
4594,gak ileran ituu enak aja,Neutral,"['iler', 'ituu', 'enak']"
3957,gapapa fisik ku memang biasa saja tidak ada yang mebuat menarik dan banyak kekurangan dalam segala bidang  setidaknya tidak gagal dalam mencari materi  ga semua yang diinginkan terwujud fokus saja mencari sebanyak nya  bukannya aku dulu ingin independen  ,Neutral,"['gapapa', 'fisik', 'ku', 'mebuat', 'tarik', 'kurang', 'bidang', 'gagal', 'cari', 'materi', 'wujud', 'fokus', 'cari', 'independen']"
708,hidup di negara isinya kenthu doang bangsat,Anger,"['hidup', 'negara', 'isi', 'kenthu', 'doang', 'bangsat']"
3744,kalau kebalik gmn jangan jangan semua dari nusantara skrg jg udah biasa kita kirim barang baku  balik balik barang jadi yg kita anggap  asli luar  catatan sejarah adalah potret waktu peristiwa  bukan sejarah itu sendiri,Neutral,"['balik', 'gmn', 'nusantara', 'skrg', 'jg', 'udah', 'kirim', 'barang', 'baku', 'barang', 'anggap', 'asli', 'catat', 'sejarah', 'potret', 'peristiwa', 'sejarah']"
527,ada banget kan paniknya lo hahhaa eh eh kenapa  kirain sakit gatauny bego,Anger,"['banget', 'panik', 'lo', 'hahhaa', 'eh', 'eh', 'kirain', 'sakit', 'gatauny', 'bego']"
2549,fansnya terlalu fanatik padahal couplenya gk wow banget  gk suka dan mau skip tapi mesti nongol aja,Love,"['fansnya', 'fanatik', 'couplenya', 'gk', 'wow', 'banget', 'gk', 'suka', 'skip', 'mesti', 'nongol']"
4343,ya kali baru kaget sekarang,Neutral,"['kali', 'kaget']"
4663,jinjin rocky gabisa minum gpp itu gabaik kok emang enak cola tapi jangan sering ya kk aku dah gak sering kalo dulu langganan,Neutral,"['jinjin', 'rocky', 'gabisa', 'minum', 'gpp', 'gabaik', 'emang', 'enak', 'cola', 'kk', 'dah', 'langgan']"
1026,sch  ini caranya gimana yaa biar temen temen ekstrakurikuler ndak pake kelas sender buat jadi ruang pertemuan  udah ditegur sama wali kelas sender masih bebel banget  mana kalo pake tuh suka gak ijin  terus kelasnya dikotorin lagi  sama kipas gak dimatiin lagi  sebel liatnya,Anger,"['sch', 'gimana', 'yaa', 'temen', 'temen', 'ekstrakurikuler', 'ndak', 'pake', 'kelas', 'sender', 'ruang', 'temu', 'udah', 'tegur', 'wali', 'kelas', 'sender', 'bebel', 'banget', 'pake', 'suka', 'ijin', 'kelas', 'dikotorin', 'kipas', 'dimatiin', 'sebel', 'liat']"
2309,pagi pagi disambut sama kabar baik dar jimim gimana nih rasanya  semoga hari ini mood baiknya terus terjaga sampai akhir hari yaa  jangan lupa jaga kesehatan juga biar jimim ga sedihh  have a nice weekend lovely a    a   a  ,Joy,"['pagi', 'pagi', 'sambut', 'kabar', 'dar', 'jimim', 'gimana', 'moga', 'mood', 'baik', 'jaga', 'yaa', 'lupa', 'jaga', 'sehat', 'jimim', 'sedihh', 'have', 'a', 'nice', 'weekend', 'lovely', 'a', 'a', 'a']"
6324,eh anjir woozi takut bgt gue takutt,Fear,"['eh', 'woozi', 'takut', 'bgt', 'gue', 'takutt']"
1204,semangat bestie,Joy,"['semangat', 'bestie']"
5726,butuh waktu yang lama untuk kembali percaya  dan berdamai dengan rasa kecewa ,Sad,"['butuh', 'percaya', 'damai', 'kecewa']"
7031,ada ga sih cewe yang tulus ke aku  takut patah hati,Fear,"['cewe', 'tulus', 'takut', 'patah', 'hati']"
6049,enak ngga enak kangen kerja tapi masih disuruh istirahat sama babeh,Sad,"['enak', 'ngga', 'enak', 'kangen', 'kerja', 'suruh', 'istirahat', 'babeh']"
2633,halo cantik  temenan kita udah lumayan lama dan gatau kenapa gemi nyaman sama leci  soalnya leci lucu  manis  suka bikin salting dan suka ngambek lucu wkwk,Love,"['halo', 'cantik', 'temenan', 'udah', 'lumayan', 'gatau', 'gemi', 'nyaman', 'leci', 'leci', 'lucu', 'manis', 'suka', 'salting', 'suka', 'ngambek', 'lucu', 'wkwk']"
511,benci bgt liat seorang profesional begini  keliatan bgt tukang nyinyir  emg di kedokteran gak ada kode etik yang mengatur tentang etika bersosmed ya ,Anger,"['benci', 'bgt', 'liat', 'profesional', 'liat', 'bgt', 'tukang', 'nyinyir', 'emg', 'dokter', 'kode', 'etik', 'atur', 'etika', 'bersosmed']"
4235,emosi tidak akan membimbingmu pada suatu pemikiran atau tindakan positif  oleh sebab itu kamu harus tenang    teens paulina,Neutral,"['emosi', 'bimbing', 'pikir', 'tindak', 'positif', 'tenang', 'teens', 'paulina']"
7069,hlt  guys  aku punya kebiasaan ngopi  ga tiap hari sih  cuma kadang   nah pagi ini abis ngopi  tb  bagian atas selangkangan sebelah kanan sakit  kira  ada hubungannya ga ya  tapi aku buang air ga kenapa  normal  ,Fear,"['hlt', 'guys', 'biasa', 'ngopi', 'kadang', 'pagi', 'abis', 'ngopi', 'tb', 'selangkang', 'belah', 'kanan', 'sakit', 'hubung', 'buang', 'air', 'normal']"
4555,malah minyak satu harga adanya cuma di awang awang   kudu produksi sendiri minyaknya  ,Neutral,"['minyak', 'harga', 'awang', 'awang', 'kudu', 'produksi', 'minyak']"
2731,cinta banget ama kue iniiii sksks,Love,"['cinta', 'banget', 'ama', 'kue', 'iniiii', 'sksks']"
7058,ga biasa bgt  weekend padahal  suami bangun pagi  jogging  nawarin aku mau makan apa dan langsung dibeliin  lanjut sarapan bareng  kesambet apa dia,Fear,"['bgt', 'weekend', 'suami', 'bangun', 'pagi', 'jogging', 'nawarin', 'makan', 'langsung', 'dibeliin', 'sarap', 'bareng', 'kesambet']"
930,susah bgt liat orang lain bahagia sih  dasar para pelakor,Anger,"['susah', 'bgt', 'liat', 'orang', 'bahagia', 'dasar', 'pelakor']"
2998,yess  aku baru suka exo sekitar september      lalu  kaak  gak tahu apa alasannya  tapi beneran ini mah bisa dibilang sayang tanpa alasan  wakaka  daya tarik mereka terlalu kuaat  gak pernah nonton live show  dsb tiba tiba suka dan sayang banget banget sama mereka  ,Love,"['yess', 'suka', 'exo', 'september', 'kaak', 'alas', 'beneran', 'mah', 'bilang', 'sayang', 'alas', 'wakaka', 'daya', 'tarik', 'kuaat', 'nonton', 'live', 'show', 'dsb', 'suka', 'sayang', 'banget', 'banget']"
6478,hayoo ada amplop dibalik hanggar yaa kok takut   ,Fear,"['hayoo', 'amplop', 'balik', 'hanggar', 'yaa', 'takut']"
7012,dulu aku gini  sampek sd kayanya  ga suka sama rumput   apalgi yg tajem   takut  nggak nyaman  geli hassembuh lah pokonya wkwk,Fear,"['gin', 'sampek', 'sd', 'kaya', 'suka', 'rumput', 'apalgi', 'tajem', 'takut', 'nggak', 'nyaman', 'geli', 'hassembuh', 'poko', 'wkwk']"
3586,tbh  gak sedikit kok yang begini  ada case gini kek udah biasa aja gitu haha  maaf maaf,Neutral,"['tbh', 'case', 'gin', 'udah', 'gitu', 'haha', 'maaf', 'maaf']"
6947,bused  agak ngeri notifnya,Fear,"['bused', 'ngeri', 'notifnya']"
1090,dichat dia sampe    pesan  ternyata tadi gue mimpi bangstt,Anger,"['dichat', 'sampe', 'pesan', 'gue', 'mimpi', 'bangstt']"
5409,tak masuk skuad barcelona untuk liga europa  dani alves kecewa berat   bolanet   arenanews,Sad,"['masuk', 'skuad', 'barcelona', 'liga', 'europa', 'dan', 'alves', 'kecewa', 'berat', 'bolanet', 'arenanews']"
3758,santai pelan pelan belajar pasti bisa,Neutral,"['santai', 'pelan', 'pelan', 'ajar']"
225,biarin marah banget aing kali ini,Anger,"['biarin', 'marah', 'banget', 'aing', 'kali']"
5833,ko sedih,Sad,"['ko', 'sedih']"
5346,punya fb khusus hype mashiho tapi sepi anjr  giliran w up member lain rame  dah ku hapus  skrg mo buat lagi nyesel ngehapus,Sad,"['fb', 'khusus', 'hype', 'mashiho', 'sepi', 'anjr', 'gilir', 'w', 'up', 'member', 'rame', 'dah', 'ku', 'hapus', 'skrg', 'mo', 'nyesel', 'ngehapus']"
6597,ya iya lah  masak nggak takut kalau bobroknya dibongkar di pengadilan ,Fear,"['iya', 'masak', 'nggak', 'takut', 'bobrok', 'bongkar', 'adil']"
617,si kapitalis politik yg bodoh,Anger,"['kapitalis', 'politik', 'bodoh']"
2227,aku bukannya nda suka sih tp ngga bisaa  karena punya alergi rhinitis dan kt dokter kalau bisa di kamar jangan ada terlalu banyak barang biar nda memperparah  jd wkt itu siklusnya beli   baca   jual kasih orang  untungnya sekarang udah ada e reader puji tuhan ,Joy,"['nda', 'suka', 'tp', 'ngga', 'bisaa', 'alergi', 'rhinitis', 'kt', 'dokter', 'kamar', 'barang', 'nda', 'parah', 'wkt', 'siklus', 'beli', 'baca', 'jual', 'kasih', 'orang', 'untung', 'udah', 'e', 'reader', 'puji', 'tuhan']"
5524,hari ulang tahun bukannya bahagia malah sedih dari sekian banyak temen yang ngucapin cuman  ,Sad,"['ulang', 'bahagia', 'sedih', 'sekian', 'temen', 'ngucapin', 'cuman']"
5815,sedih td malem mimpinya jeleek kali sampe aku kebangun tengah malem nangiss deress  trs aku tahajud baca doa blabla  trs mimpi jelek lg sampe dalam mimpi itu aku capeek kali baca ayat kursi   qul tapi setannya ga pigi  anjir,Sad,"['sedih', 'td', 'malem', 'mimpi', 'jeleek', 'kali', 'sampe', 'bangun', 'malem', 'nangiss', 'deress', 'trs', 'tahajud', 'baca', 'doa', 'blabla', 'trs', 'mimpi', 'jelek', 'sampe', 'mimpi', 'capeek', 'kali', 'baca', 'ayat', 'kursi', 'qul', 'setan', 'pigi']"
5631,ya ampunnnnnn aku ikutan sedih,Sad,"['ampunnnnnn', 'ikut', 'sedih']"
1621,happy birthday   maknae on top nya dreamis  adek kesayangan abang jeno  sehat selalu ya adek  terima kasih udah lahir ke dunia  bahagia selalu    ,Joy,"['happy', 'birthday', 'maknae', 'on', 'top', 'dreamis', 'adek', 'sayang', 'abang', 'jeno', 'sehat', 'adek', 'terima', 'kasih', 'udah', 'lahir', 'dunia', 'bahagia']"
5781,ada yg salah besar di klub kalo tiap musim tidak mampu jadi penantang gelar di tiap kompetisi  kecewa stlh kecewa krn klub ini skrg klub pnh drama  bkn soal prestasi lagi  musim ini  semua kejadian ga enak terjadi di kandang  jadi bhn olok  bhkn utk pihak yg ga bhs bola,Sad,"['salah', 'klub', 'musim', 'tantang', 'gelar', 'kompetisi', 'kecewa', 'stlh', 'kecewa', 'klub', 'skrg', 'klub', 'pnh', 'drama', 'bkn', 'prestasi', 'musim', 'jadi', 'enak', 'kandang', 'bhn', 'olok', 'bhkn', 'bhs', 'bola']"
2532,wieeh saya baca blog mas taufik sama mas nugie tiap hari mas  suka banget sama analisis mengenai moto gp nya detail banget ,Love,"['wieeh', 'baca', 'blog', 'mas', 'taufik', 'mas', 'nugie', 'mas', 'suka', 'banget', 'analisis', 'moto', 'gp', 'detail', 'banget']"
902,ngga ngotak emg  adenya positif  ngajak diskusi ngomong ga enak enakan  pinter doang tapi ga ngerti psikologis org down ,Anger,"['ngga', 'ngotak', 'emg', 'adenya', 'positif', 'ngajak', 'diskusi', 'ngomong', 'enak', 'enak', 'pinter', 'doang', 'ngerti', 'psikologis', 'org', 'down']"
5869,baik  pake kata tolong  dan bersedia nungguin  sedih banget,Sad,"['pake', 'tolong', 'sedia', 'nungguin', 'sedih', 'banget']"
6139,kalo yg sa in gua adalah org yg gua lumayan suka juga ya bisa jadi jadian kalo nyaman   kalo yg sa in gua cuma gua anggep temen  ya kadang masih bisa jadi temen  tapi ada jg yg nge block  pdhal yg suka dia bukan gua tapi ngamok    dan juga ga pernah ngobrol  ya gua kan bingung,Sad,"['sa', 'in', 'gua', 'org', 'gua', 'lumayan', 'suka', 'jadi', 'nyaman', 'sa', 'in', 'gua', 'gua', 'anggep', 'temen', 'kadang', 'temen', 'jg', 'nge', 'block', 'pdhal', 'suka', 'gua', 'ngamok', 'ngobrol', 'gua', 'bingung']"
2782,nih aku gatau tuhan kenapa baik banget dikasih calon yang ganteng baik ringan tangan suka bantu orang penyayang kenapa si baik banget bersyukur bgt akuu tau,Love,"['gatau', 'tuhan', 'banget', 'kasih', 'calon', 'ganteng', 'ringan', 'tangan', 'suka', 'bantu', 'orang', 'sayang', 'banget', 'syukur', 'bgt', 'akuu']"
5788,hanya dirimu yang bisa membuatku tenang  tanpa dirimu aku merasa hilang dan sepi  dan sepi ,Sad,"['diri', 'buat', 'tenang', 'diri', 'hilang', 'sepi', 'sepi']"
3993,percayalah tidak ada wanita yang baik baik saja  ketika mengetahui pasangannya berkomunikasi dengan mantannya,Neutral,"['percaya', 'wanita', 'pasang', 'komunikasi', 'mantan']"
1493,wahh semangat yaa,Joy,"['wahh', 'semangat', 'yaa']"
6540,ngeri keinjek hp nya min t  t,Fear,"['ngeri', 'keinjek', 'hp', 'min']"
6710,gue fikir baba ga ikut  malu bgt asw gadeng  malu aja haha    ,Fear,"['gue', 'fikir', 'baba', 'malu', 'bgt', 'asw', 'gadeng', 'malu', 'haha']"
6744,aku lebih takut liat bird japan ketemu bam,Fear,"['takut', 'liat', 'bird', 'japan', 'ketemu', 'bam']"
283,selamat pagi mari memulai hari dengan emosi yuk mampir ,Anger,"['selamat', 'pagi', 'mari', 'emosi', 'yuk', 'mampir']"
3491,saya setuju dengan segala statmentmu tadi hanya saja khusus indonesia untuk diiplementasikan seperti itu amatlah berat  bahkan pemerintah pun jika ingin bikin kebijakan seperti ini agak sulit karena bakal banyak pertentangan dari kaum maha suci baik verbal maupun fisik nantinya,Neutral,"['tuju', 'statmentmu', 'khusus', 'indonesia', 'diiplementasikan', 'berat', 'perintah', 'bijak', 'sulit', 'tentang', 'kaum', 'maha', 'suci', 'verbal', 'fisik']"
515,jangan bodoh ya ta  dia udah hapus nmor ita  berarti dia pengen hapus ita dri hidupnya  so ita harus bisa untuk tidak peduli dengan kehidupan sosmednya  dia aja bisa masa ita gk bisa  please jadilah kuat,Anger,"['bodoh', 'ta', 'udah', 'hapus', 'nmor', 'ita', 'ken', 'hapus', 'ita', 'dri', 'hidup', 'so', 'ita', 'peduli', 'hidup', 'sosmednya', 'ita', 'gk', 'please', 'kuat']"
1089,gue heran knp masih pada bilang funny dan gatau deh apa normal dsana kah  pdahal jls  salah satunya kliatan ga nyaman  dan sialan bgt pake ada yg bahas masa lalu m  oh dasar haters dan fans si onoh kan lu  bangke pagi  bikin naik darah aja ,Anger,"['gue', 'heran', 'knp', 'funny', 'gatau', 'deh', 'normal', 'dsana', 'kah', 'pdahal', 'jls', 'salah', 'satu', 'kliatan', 'nyaman', 'sial', 'bgt', 'pake', 'bahas', 'm', 'oh', 'dasar', 'haters', 'fans', 'onoh', 'bangke', 'pagi', 'darah']"
6410,ngeri ngeri,Fear,"['ngeri', 'ngeri']"
4285,km semisal tak antem batu gt marah gk ,Neutral,"['km', 'antem', 'batu', 'gt', 'marah', 'gk']"
868,ketularan jd tukang boonk semua mereka   gak punya malu muka tembok china   ,Anger,"['tular', 'tukang', 'boonk', 'malu', 'muka', 'tembok', 'china']"
3104,nontoon  suka bangt tapi eps sedikit banget trus ji tae kenapa mati,Love,"['nontoon', 'suka', 'bangt', 'eps', 'banget', 'trus', 'ji', 'tae', 'mati']"
4804,rasa lada nya strong banget   lebih suka yg dikit ladanya,Neutral,"['lada', 'strong', 'banget', 'suka', 'dikit', 'lada']"
3188,cukup ke spook di banner weapon sekali saja hiks  tapi paling ntar coba   x pull di engulf ,Neutral,"['spook', 'banner', 'weapon', 'hiks', 'ntar', 'coba', 'x', 'pull', 'engulf']"
3308,pura  bukan army dan pura  biasa aja    sampe rumah baru teriak  lalu nangis lalu meletoy i vote as the at the     ,Neutral,"['pura', 'army', 'pura', 'sampe', 'rumah', 'teriak', 'nang', 'meletoy', 'i', 'vote', 'as', 'the', 'at', 'the']"
1934,setuju  lebih puas ajaa,Joy,"['tuju', 'puas', 'ajaa']"
2695,suka banget  apalagi kalo kepasar  didaerahku itu pasar ada    ada yang deket komplek dan pasar yang jauh gitu namanya pasar induk  dan nenek suka ngajak kesanah naik angkot kan seru gitu jadi suka ngikutt,Love,"['suka', 'banget', 'pasar', 'daerah', 'pasar', 'deket', 'komplek', 'pasar', 'gitu', 'nama', 'pasar', 'induk', 'nenek', 'suka', 'ngajak', 'kesanah', 'angkot', 'seru', 'gitu', 'suka', 'ngikutt']"
1119,suka heran sama orang yang udah ngasu tp ga ada effort sama sekali buat mastiin gue sakit ati gak  gue kecewa gak maksudnyaa lo tuh sadar gasih kalo habis ngejahatin gue  emang repot kalo kita ga pernah ngambek sekalinya ngambek dianggep yaudah  mungkin ga ngambek beneran  ,Anger,"['suka', 'heran', 'orang', 'udah', 'ngasu', 'tp', 'effort', 'mastiin', 'gue', 'sakit', 'ati', 'gue', 'kecewa', 'maksudnyaa', 'lo', 'sadar', 'gasih', 'habis', 'ngejahatin', 'gue', 'emang', 'repot', 'ngambek', 'sekali', 'ngambek', 'dianggep', 'yaudah', 'ngambek', 'beneran']"
7053,harap demam biasa    takut copid,Fear,"['harap', 'demam', 'takut', 'copid']"
4872,aku suka dari rg sama pahamify sering ngadain gratis  trus ig juga banyak tapi ribet banget syaratnya suruh share grup kadang,Neutral,"['suka', 'rg', 'pahamify', 'ngadain', 'gratis', 'trus', 'ig', 'ribet', 'banget', 'syarat', 'suruh', 'share', 'grup', 'kadang']"
6529,tp gaboleh panikk nnti kalo panik kamu ngeblankk nanti malah gabisa ngerjain gaboleh panik,Fear,"['tp', 'gaboleh', 'panikk', 'nnti', 'panik', 'ngeblankk', 'gabisa', 'ngerjain', 'gaboleh', 'panik']"
5118,perasaan takut kecewa hanya akan membuat kita takut menatap masa depan ,Neutral,"['asa', 'takut', 'kecewa', 'takut', 'tatap']"
4815,sedikit informasi tentang saya  saya ini enfp  terus punya love language woa sama quality time  saya juga suka banget cerita tentang semua hal  juga dengerin cerita orang orang  ya intinya saya bawel  saya mulai avail tanggal    nanti ,Neutral,"['informasi', 'enfp', 'love', 'language', 'woa', 'quality', 'time', 'suka', 'banget', 'cerita', 'dengerin', 'cerita', 'orang', 'orang', 'inti', 'bawel', 'avail', 'tanggal']"
5008,tak perlu kecewa  kalah dan menang dalam permainan hal biasa ,Neutral,"['kecewa', 'kalah', 'menang', 'main']"
1908,cerah sepertinya,Joy,['cerah']
359,poin ke   kayak org bodoh ga sih  ngapain udah nikah berzinah sama wanita lain  ya di pikir aja  itu mah emang nafsu lo yang kayak gitu  sok sok an berlindung di balik kata zinah ,Anger,"['poin', 'kayak', 'org', 'bodoh', 'ngapain', 'udah', 'nikah', 'berzinah', 'wanita', 'pikir', 'mah', 'emang', 'nafsu', 'lo', 'kayak', 'gitu', 'sok', 'sok', 'an', 'lindung', 'zinah']"
3757,  k saja kak  full garansi dan fast proses ya boleh dm atau wa  ,Neutral,"['k', 'kak', 'full', 'garansi', 'fast', 'proses', 'dm', 'wa']"
1451,sama samaa  semangat terus kak nulisnya,Joy,"['samaa', 'semangat', 'kak', 'nulisnya']"
1350,semangat vancaa,Joy,"['semangat', 'vancaa']"
2369,antara ngakak sama sedih anjr nonton inituh kawkwakwakawawk,Joy,"['ngakak', 'sedih', 'anjr', 'nonton', 'inituh', 'kawkwakwakawawk']"
5064,rangnick   sangat kecewa  kami seharusnya menang dan mematikan pertandingan di babak pertama  sangat disayangkan peluang yang terkena tiang gawang  penalti yang gagal dan banyak peluang  seharusnya     atau      ,Neutral,"['rangnick', 'kecewa', 'menang', 'mati', 'tanding', 'babak', 'sayang', 'peluang', 'kena', 'tiang', 'gawang', 'penalti', 'gagal', 'peluang']"
4606,morning  semangat tipes nya ,Neutral,"['morning', 'semangat', 'tipes']"
2004,pgn ketawa gue klo lu emosi,Joy,"['pgn', 'ketawa', 'gue', 'emosi']"
1839,aaaa semangat harinya juga kak azutt,Joy,"['aaaa', 'semangat', 'hari', 'kak', 'azutt']"
5908,bneran dia fix keluar  aa sedih,Sad,"['bneran', 'fix', 'aa', 'sedih']"
6391,udah aktivasi tapi takut ga valid,Fear,"['udah', 'aktivasi', 'takut', 'valid']"
2053,hahah yaallah trimakasi telah menghindarkan saya dari rasa malu perbadutan,Joy,"['hahah', 'yaallah', 'trimakasi', 'hindar', 'malu', 'badut']"
6580,yang kupikirkan saat ini   ini org org yg punya kontak wa banyak ga pusing apa ya nyortir siapa aja yg bisa liat sw  gw cuma sekian aja  males nyortir dan jatohnya jadi males buat sw aja sklian  khawatir hal hal tidak diinginkan terjadi,Fear,"['pikir', 'org', 'org', 'kontak', 'wa', 'pusing', 'nyortir', 'liat', 'sw', 'gw', 'sekian', 'males', 'nyortir', 'jatohnya', 'males', 'sw', 'sklian', 'khawatir']"
90,kalau cerita kat laki aku pasal mimpi malam td mesti kena marah,Anger,"['cerita', 'kat', 'laki', 'pasal', 'mimpi', 'malam', 'td', 'mesti', 'kena', 'marah']"
5160,ohh hari ini  tumben masih sepi  wkwkw,Neutral,"['ohh', 'tumben', 'sepi', 'wkwkw']"
495,kasian nih org  istilah  anak kolong  aja gak tw   bisax main medsos tp malas membaca  bego beud,Anger,"['kasi', 'org', 'istilah', 'anak', 'kolong', 'tw', 'bisax', 'main', 'medsos', 'tp', 'malas', 'baca', 'bego', 'beud']"
6722,orang  sudah pinter    takut dosa  klo gak adil   srkarang banyak yg pinter  tapu tidak ngerti  ilmu bukan diamalkan  tp disalah gunakan  ,Fear,"['orang', 'pinter', 'takut', 'dosa', 'adil', 'srkarang', 'pinter', 'tapu', 'ngerti', 'ilmu', 'amal', 'tp', 'salah']"
3235,tahajud  dhuha tiap hari aja powernya di aku udah luar biasa nder,Neutral,"['tahajud', 'dhuha', 'powernya', 'udah', 'nder']"
4386,trailer film kaget nikah eps    udh keluar  jangan lupa nikmati burgernya  kelahiran      jangan nonton dulu  soalnya belum dewasa ,Neutral,"['trailer', 'film', 'kaget', 'nikah', 'eps', 'udh', 'lupa', 'nikmat', 'burgernya', 'lahir', 'nonton', 'dewasa']"
6080,ngk semangat idup,Sad,"['semangat', 'idup']"
6180,gmnasi rasanya temen kelasnya di acak  tbh  biasa aja sebenernya soalnya pas smp jga gini  cuman lebih ga semangat kek hari hari biasanya aja  lebih banyak ngeluh sendiri  pendem semuanya sendiri  bingung jga sih kadang tbtb ngerasa sedih  bawaannya pen nangis,Sad,"['gmnasi', 'temen', 'kelas', 'acak', 'tbh', 'sebenernya', 'pas', 'smp', 'jga', 'gin', 'cuman', 'semangat', 'ngeluh', 'pendem', 'bingung', 'jga', 'kadang', 'tbtb', 'ngerasa', 'sedih', 'bawa', 'nang']"
5387,iya  mnrutku jg sii design nya dah bagus  bnyak yg mau nya baju nya pkai kimono gtu  kaya tradi bgt n kecewa knp kya western ish bgt  tp sbnrnya gak jg  masih khas jp  gak smua chara jp harus se tradi raiden dkk design nya ,Sad,"['iya', 'mnrutku', 'jg', 'sii', 'design', 'dah', 'bagus', 'bnyak', 'baju', 'pkai', 'kimono', 'gtu', 'kaya', 'tradi', 'bgt', 'kecewa', 'knp', 'kya', 'western', 'ish', 'bgt', 'tp', 'sbnrnya', 'jg', 'khas', 'jp', 'smua', 'chara', 'jp', 'tradi', 'raiden', 'dkk', 'design']"
57,eh  kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah ,Anger,"['eh', 'kau', 'rancang', 'jatuh', 'orang', 'kau', 'benci', 'perempuan', 'kah']"
1123,sumpah sih makin marah dan kecewa sama daddy  ,Anger,"['sumpah', 'marah', 'kecewa', 'daddy']"
6436,bisa dicipratin air kak  bagian belakang badannya aja jg gapapa  klo muka kasian takut kaget,Fear,"['dicipratin', 'air', 'kak', 'badan', 'jg', 'gapapa', 'muka', 'kasi', 'takut', 'kaget']"
